GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
,fr.edc3.pmt.domain.model,WorkItem,25,0,4,0,10,0,4,0,2,0
,fr.edc3.pmt.domain.model,TeamMember,7,0,2,0,3,0,2,0,1,0
,fr.edc3.pmt.domain.model,UserNotification,14,0,4,0,5,0,3,0,1,0
,fr.edc3.pmt.domain.model,ProjectInvitation,13,0,4,0,5,0,3,0,1,0
,fr.edc3.pmt.domain.model,Account,13,0,0,0,6,0,2,0,2,0
,fr.edc3.pmt.domain.model,Workspace,13,0,0,0,6,0,2,0,2,0
,fr.edc3.pmt.domain.model,WorkItemHistory,7,0,2,0,3,0,2,0,1,0
,fr.edc3.pmt,PmtApplication,8,0,0,0,3,0,2,0,2,0
,fr.edc3.pmt.config,ApiExceptionHandler,83,0,2,0,17,0,10,0,9,0
,fr.edc3.pmt.config,WebConfig,49,0,0,0,6,0,2,0,2,0
,fr.edc3.pmt.api.dto,WorkspaceDtos.UpdateRoleRequest,0,9,0,0,0,1,0,1,0,1
,fr.edc3.pmt.api.dto,WorkItemDtos.AssignWorkItemRequest,0,9,0,0,0,1,0,1,0,1
,fr.edc3.pmt.api.dto,WorkspaceDtos.TeamMemberResponse,0,21,0,0,0,1,0,1,0,1
,fr.edc3.pmt.api.dto,WorkspaceDtos.WorkspaceResponse,0,21,0,0,0,1,0,1,0,1
,fr.edc3.pmt.api.dto,AuthDtos.LoginRequest,0,9,0,0,0,1,0,1,0,1
,fr.edc3.pmt.api.dto,WorkspaceDtos.InvitationResponse,0,30,0,0,0,1,0,1,0,1
,fr.edc3.pmt.api.dto,WorkItemDtos.DashboardStatusResponse,0,9,0,0,0,1,0,1,0,1
,fr.edc3.pmt.api.dto,WorkItemDtos.CreateWorkItemRequest,0,21,0,0,0,1,0,1,0,1
,fr.edc3.pmt.api.dto,WorkItemDtos.UpdateWorkItemRequest,0,30,0,0,0,1,0,1,0,1
,fr.edc3.pmt.api.dto,WorkspaceDtos.InvitationActionRequest,0,6,0,0,0,1,0,1,0,1
,fr.edc3.pmt.api.dto,AuthDtos.AccountResponse,0,15,0,0,0,1,0,1,0,1
,fr.edc3.pmt.api.dto,AuthDtos.RegisterRequest,0,12,0,0,0,1,0,1,0,1
,fr.edc3.pmt.api.dto,WorkspaceDtos.InvitationRequest,0,12,0,0,0,1,0,1,0,1
,fr.edc3.pmt.api.dto,WorkspaceDtos.CreateWorkspaceRequest,0,15,0,0,0,1,0,1,0,1
,fr.edc3.pmt.api.dto,WorkItemDtos.WorkItemHistoryResponse,0,24,0,0,0,1,0,1,0,1
,fr.edc3.pmt.api.dto,WorkItemDtos.WorkItemResponse,0,39,0,0,0,1,0,1,0,1
,fr.edc3.pmt.api.dto,NotificationDtos.NotificationResponse,0,24,0,0,0,1,0,1,0,1
,fr.edc3.pmt.api.dto,WorkspaceDtos.AddMemberRequest,0,12,0,0,0,1,0,1,0,1
,fr.edc3.pmt.api.dto,AuthDtos.LoginResponse,0,12,0,0,0,1,0,1,0,1
,fr.edc3.pmt.domain.service,AuthService,0,94,0,6,0,17,0,6,0,3
,fr.edc3.pmt.domain.service,NotFoundException,0,4,0,0,0,2,0,1,0,1
,fr.edc3.pmt.domain.service,WorkspaceService,243,418,5,9,51,123,20,22,15,20
,fr.edc3.pmt.domain.service,WorkItemService,96,485,10,32,18,107,16,21,6,10
,fr.edc3.pmt.domain.service,PermissionService,0,40,0,4,0,6,0,4,0,2
,fr.edc3.pmt.domain.service,NotificationService,161,4,6,0,43,1,8,1,5,1
,fr.edc3.pmt.domain.service,ApiException,0,4,0,0,0,2,0,1,0,1
,fr.edc3.pmt.api,WorkItemController,20,20,0,0,3,3,3,3,3,3
,fr.edc3.pmt.api,WorkspaceController,0,58,0,0,0,10,0,10,0,10
,fr.edc3.pmt.api,QueryController,0,11,0,0,0,2,0,2,0,2
,fr.edc3.pmt.api,AuthController,0,10,0,0,0,2,0,2,0,2
,fr.edc3.pmt.domain.enums,NotificationKind,0,15,0,0,0,3,0,1,0,1
,fr.edc3.pmt.domain.enums,WorkItemStatus,0,27,0,0,0,5,0,1,0,1
,fr.edc3.pmt.domain.enums,HistoryAction,0,27,0,0,0,5,0,1,0,1
,fr.edc3.pmt.domain.enums,MemberRole,0,21,0,0,0,4,0,1,0,1
,fr.edc3.pmt.domain.enums,WorkItemPriority,0,21,0,0,0,4,0,1,0,1
,fr.edc3.pmt.domain.enums,InvitationState,0,21,0,0,0,4,0,1,0,1
